id	ZONA	Neighborhood	Street	Start date and time	End date and time	Direction	Reference	Status
10643	Centro	Sé	Padrão não compreendido	2009/02/15 00:16	Horário não informado no Site	Sant / AERO	Referência não informada no site	Ativo Transitável
10644	Centro	Sé	AV. R	2009/02/15 03:35	2009/02/15 06:37	C / B	R. DO HIPÓDROMO (Pista Local)	Inativo Transitável
10645	Centro	Sé	Padrão não compreendido	2009/02/15 03:36	Horário não informado no Site	C / B	R. JOSÉ DE ALENCAR	Ativo Transitável
10646	Centro	Sé	Padrão não compreendido	2009/02/15 07:06	Horário não informado no Site	CAST / Ayrton	150M ANTES PTE Rio Tamanduateí	Ativo Transitável
10647	Centro	Sé	AV. VINTE E TRÊS DE MAIO	2009/02/15 08:27	2009/02/15 10:39	Sant / AERO	PISTA AUXILIAR N º 354	Inativo Transitável
10648	Zona Oeste	Butantã	Padrão não compreendido	2009/02/15 18:35	Horário não informado no Site	CB / INT	200M ANTES DA CIDADE UNIVERSIT�?RIA PTE 12:27	Ativo Transitável
10649	Zona Oeste	Lapa	AV. MARQUES DE SÃO VICENTE	2009/02/15 21:32	2009/02/16 02:32	LAPA / BARRA FUNDA	PRAÇA PASCHOAL MARTINS	Inativo Transitável
10650	Zona Oeste	Lapa	AV. MARQUES DE SÃO VICENTE	2009/02/15 21:36	2009/02/16 02:32	LAPA / BARRA FUNDA	Altura 1005	Inativo Transitável
10651	Zona Oeste	Lapa	Padrão não compreendido	2009/02/15 23:02	Horário não informado no Site	CB / AS - LOCAL	PTE. DOS REMÉDIOS - 1000M ANTES	Ativo Transitável
10652	Zona Oeste	Pinheiros	AV. MARGINAL PINHEIROS	2009/02/15 09:25	2009/02/15 10:15	INT / CAST	JUNTO A PONTE Eusébio Matoso (PISTA EXPRESSA)	Inativo Transitável
10653	Zona Oeste	Pinheiros	Padrão não compreendido	2009/02/15 22:31	Horário não informado no Site	INTERLAGOS / CASTELO BRNACO	Ponte Roberto Rossi Zuccolo	Ativo Transitável
10654	Zona Oeste	Pinheiros	Padrão não compreendido	2009/02/15 22:32	Horário não informado no Site	INTERLAGOS / CASTELO BRNACO	Rua Sumidouro	Ativo Transitável
10655	Zona Oeste	Pinheiros	Padrão não compreendido	2009/02/15 22:34	Horário não informado no Site	Interlagos / Castelo Branco	AV. PROF. FREDERICO HERMANN JUNIOR	Ativo Transitável
10656	Zona Oeste	Pinheiros	Padrão não compreendido	2009/02/15 22:50	Horário não informado no Site	INTERLAGOS / CASTELO BRNACO	1000m APÓS PONTE Jaguaré	Ativo Transitável
10657	Zona Leste	Mooca	AV. RADIAL LESTE-OESTE	2009/02/15 23:09	2009/02/16 11:45	CENTRO / BAIRRO	Rua Wandenkolk	Inativo Transitável
10658	Zona Oeste	Butantã	Ru	2009/02/13 06:31	2009/02/13 16:16	Unico	Rua Valdemar Ferreira	Inativo Intransitável
10659	Zona Leste	Vila Prudente	AV. PROF. Luís Inácio Anh	2009/02/13 12:48	2009/02/14 07:00	/ V.MARIANA	ibir	Inativo Transitável
10660	Zona Sul	Campo Limpo	AV. M	2009/02/13 08:49	2009/02/14 07:00	C / B	PTE. JOÃO DIAS - 50M. APÓS	Inativo Transitável
10661	Zona Oeste	Butantã	Ru	2009/02/12 06:31	2009/02/12 07:00	Unico	RUA CATEQUESE ATÉ RUA VALDEMAR FERREIRA	Inativo Intransitável
10662	Zona Leste	Mooca	Ru	2009/02/12 17:41	2009/02/13 02:45	B / C	ALTURA DO N. 204	Inativo Transitável
10663	Zona Sul	Campo Limpo	AV. MARIA COELHO AGUIAR	2009/02/11 15:50	2009/02/11 16:06	C / B	PC. ALCEU AMOROSO LIMA	Inativo Transitável
10664	Zona Sul	Santo Amaro	AV. JOÃO DIAS	2009/02/11 16:20	2009/02/11 18:03	C / B	Marginal Pinheiros - ACESSO	Inativo Transitável
10665	Zona Oeste	Butantã	MARGINAL PINHEIROS	2009/02/09 15:35	2009/02/10 09:40	CB / INT	PTE. ENG. Ary Torres	Inativo Transitável
10666	Zona Oeste	Pinheiros	AV. Jorn. ROBERTO MARINHO	2009/02/09 15:27	2009/02/09 15:51	MARG / AER	VD. CARLOS EDUARDO MAGALHÃES - 200M ANTES	Inativo Transitável
10667	Zona Oeste	Pinheiros	VD. REPÚBLICA DA ARMÉNIA	2009/02/09 15:37	2009/02/09 17:15	Unico	INICIO	Inativo Transitável
10668	Zona Oeste	Pinheiros	MARGINAL PINHEIROS	2009/02/09 16:07	2009/02/09 19:08	INT / CB	PTE. DO MORUMBI	Inativo Transitável
10669	Zona Oeste	Pinheiros	MARGINAL PINHEIROS	2009/02/09 16:57	2009/02/09 19:07	INT / CB	AV. JOÃO DORIA	Inativo Transitável
10670	Zona Leste	Penha	AV. R	2009/02/09 19:37	2009/02/09 21:53	C / B	Rua FIORELLI PECCICACCO - 800M ANTES	Inativo Intransitável
10671	Zona Oeste	Pinheiros	VD. REPÚBLICA DA ARMÉNIA	2009/02/08 16:27	2009/02/09 09:40	Unico	Referência não informada no site	Inativo Transitável
10672	Zona Oeste	Pinheiros	R. FUNCHAL	2009/02/08 16:30	2009/02/09 09:40	B / C	R. GOMES DE CARVALHO	Inativo Transitável
10673	Zona Sul	Santo Amaro	R. Miguel Yunes	2009/02/08 07:50	2009/02/08 09:40	B / C	AV. INTERLAGOS	Inativo Transitável
10674	Zona Norte	Casa Verde	AV. ORDEM E PROGRESSO	2009/02/07 19:17	2009/02/07 21:00	Ambos	Rua SAMARIT�?	Inativo Intransitável
10675	Zona Norte	Freguesia do Ó	AV. CB. ADÃO PEREIRA	2009/02/07 18:41	2009/02/07 19:17	Ambos	AV. BENEDITO ANDRADE	Inativo Transitável
10676	Zona Norte	Santana	AV. CRUZEIRO DO SUL	2009/02/07 18:14	2009/02/08 02:57	B / C	AV. GEN. Ataliba Leonel	Inativo Transitável
10677	Zona Norte	Santana	Ru	2009/02/07 18:17	2009/02/08 02:57	B / C	AV. GEN. PEDRO LEON SCHNEIDER	Inativo Transitável
10678	Zona Norte	Santana	MARGINAL TIETÊ	2009/02/07 18:49	2009/02/07 19:34	Ambos	PTE. DAS BANDEIRAS	Inativo Transitável
10679	Zona Norte	Santana	Ponte do Rio T	2009/02/07 18:53	2009/02/07 19:53		Referência não informada no site	Inativo Transitável
10680	Zona Norte	Santana	AV. PRES. C	2009/02/07 19:01	2009/02/07 20:29		PONTE DAS BANDEIRAS	Inativo Transitável
10681	Zona Norte	Santana	RUA CRISTALINO ROLIM DE FREITAS	2009/02/07 19:03	2009/02/07 21:15	Ambos	AV. VITOR MANZINI	Inativo Transitável
10682	Centro	Sé	AV. VINTE E TRÊS DE MAIO	2009/02/07 18:24	2009/02/07 19:15	Sant / AER	PÇA. DAS BANDEIRAS	Inativo Transitável
10683	Centro	Sé	Ru	2009/02/07 18:34	2009/02/07 18:55	UNICO	PRACA QUATORZE BIS	Inativo Transitável
